,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711
US-AK,4039.267,3911.324,4089.125,3208.994,3082.058,3253.979,3663.349,4114.787,3721.743,3853.681,3669.453,3958.063,3763.902,3238.806,3650.039,3497.05,3383.79,3350.681,3802.3,3532.692,3667.512,3921.636,3589.738,4194.772,3663.998,3241.921,3148.729,2849.596,2763.72,3015.19,3156.06,2953.103,2903.316,3135.203,3282.592,3684.94,5176.96659,4633.43488,3777.02052,3535.21934,4213.81229,4764.69382,4838.57156,4193.23161,4111.07023,3650.87953,3991.7309,5112.46777,3841.93425,3365.23829,3542.87456,3224.40575,3184.84223,3596.89889,4337.20693,4675.47307,3729.95582,3903.81288,3799.03441,4160.22196,4304.33119,3861.99076,4069.10119,3606.69612,3746.86959,4178.03451,4603.94757,4497.58103,3774.43192,4215.11852,4462.24587,4532.28173,3946.686,3335.654,3647.438,3290.354,3194.591,3275.337,3243.793,3184.757,3601.057,4014.076,3900.205,3507.777,4035.157,3605.967,3790.678,3268.475,3276.107,3114.782,3779.659,3816.132,3790.245,3811.94,3961.911,3902.341,3685.091,3052.463,3307.26,2949.901,3052.235,3058.109,3044.21,2766.676,3041.651,3298.7,3579.485,4114.388,3867.68,3291.565,3545.953,3660.565,3546.967,2790.882,3047.863,3382.926,3138.941,3598.588,3099.045,3716.526,4016.314,3434.212,3640.342,3798.545,3362.651,3198.787,3270.5,3469.062,3533.198,3434.885,3658.304,3818.426,4097.521,3530.643,3585.935,3476.528,3239.989,2972.562,3146.872,3314.479,3012.809,3371.306,3636.203,3037.457,3699.82,2900.134,3056.125,2834.839,2796.097,2653.943,2778.21,2652.464,2599.54,2515.205,3000.175,3502.053,3064.224,2838.283,2814.292,2582.727,2739.947,2937.164,2806.698,2608.628,2008.645,2550.326,2909.034,3032.62,3229.787,3193.492,3136.564,2547.493,2386.995,2546.223,2437.043,2294.34,1904.225,2174.66,2571.187,2717.111,2791.755,2400.321,2460.634,2521.706,2483.833,2282.358,2421.892,2249.9,2206.317,2108.703,2548.392,2596.642,2414.439,1556.047,1998.541,1605.767,1445.319,1875.363,3134.33,3208.071,2656.594,2784.157,2327.721
US-AL,7801.844,6154.086,7919.88,7773.851,8216.594,10757.846,12118.63,13601.104,10940.471,11800.993,10702.354,10883.767,12267.048,11021.605,9773.234,10329.62,11082.415,16035.861,18867.284,19759.215,15527.901,10978.17,9229.659,9492.35,12336.161,7686.172,6432.146,8191.286,6577.473,11179.62,15599.453,19878.481,9448.345,5114.341,5861.881,8438.359,11784.72936,10853.6328,10901.51489,10907.82861,12438.53993,13644.30004,19759.09606,16670.48066,11867.23738,9669.59079,7115.82637,8946.67507,8199.54541,6329.88664,8494.80968,5681.05782,8270.91688,13622.94533,17896.70556,19410.71384,10912.85839,6933.53205,7710.32251,11036.45729,5456.70752,6652.60659,9266.88675,10504.46749,13156.95705,20571.93386,26843.43488,27874.44335,12905.29982,12297.30917,9151.88659,9703.46201,10202.546,16662.973,10235.824,15343.127,12183.607,18640.385,20461.201,32307.691,18309.303,16078.991,11070.216,13207.792,18319.722,11408.607,10230.764,7393.755,6369.076,20487.258,23602.051,23614.018,14711.868,14980.624,17146.907,11469.833,17553.864,19653.342,18878.504,17704.47,17818.098,27826.417,27060.921,27508,21658.127,15110.66,15861.679,18505.28,22698.4,19624.538,17629.058,15005.094,21822.523,30050.423,33700.736,36901.548,27107.494,24747.003,21530.143,30253.052,28605.884,25478.697,21909.52,19172.379,25552.463,32842.292,38369.1,42491.654,32931.942,28695.531,33400.351,34313.294,34856.067,36451.874,32105.723,33079.119,40125.752,40267.566,44992.934,41423.374,33850.145,26830.225,28990.497,33386.6,29610.554,33167.15,33606.485,24381.299,23572.341,30980.254,32533.339,35034.659,28480.4,29132.288,29377.362,29800.537,34704.317,20912.832,29526.735,21179.736,29715.5,32222.549,33017.064,37400.091,34692.704,32766.458,35923.854,34031.028,38881.598,34117.38,33268.453,27277.285,34980.097,39215.055,41805.343,39931.591,35628.536,34027.682,33968.615,36203.636,37128.096,32215.591,33647.401,28858.841,35874.235,41633.346,46658.379,45646.955,42701.406,34110.466,33238.837,34166.382,28561.294,25894.93,33328.507,32693.342,33907.998,36451.072,46101.434,44730.7,38685.826,34714.075,33541.719
US-AR,2884.52,1075.849,2042.996,3377.412,2070.5,1675.402,4189.262,4890.415,3261.119,3538.832,2781.552,2109.237,2717.55,2858.509,3087.651,3770.505,3581.239,6199.026,9494.795,7413.296,5697.17,4166.297,1972.362,1899.716,3441.161,3796.041,3015.212,3802.877,5768.249,7290.761,9306.796,9492.171,5658.264,4592.823,3867.763,2620.1,3107.47371,3879.41169,3808.96518,2749.70057,4981.67014,5743.47744,6130.90074,5837.45237,3268.22307,4626.3057,2236.90858,2400.02384,2702.79654,2229.85868,3189.13597,2940.99437,4688.20444,6645.61153,8626.83251,9011.7647,4871.16767,3792.08019,3685.09258,3311.13487,2262.2385,2950.23682,3303.27629,6048.24488,8500.80411,10438.59972,10987.01648,11500.11726,8394.87656,7150.97909,2859.13052,3275.38786,2275.112,2947.568,2751.55,4583.906,6491.696,9510.673,9936.867,14348.32,7747.871,4201.948,3788.535,3547.734,6702.88,5515.642,3602.297,2809.511,5283.01,9459.487,10578.902,9022.429,4294.459,6318.991,4278.883,4683.874,5992.345,7381.586,7401.084,6028.321,5202.596,13600.056,13582.2,12682.068,7473.615,5234.477,2889.065,5082.983,8656.187,6214.969,4633.748,3882.746,7821.745,13217.055,15310.308,17627.881,10161.135,7135.088,3430.364,7498.699,9090.023,7852.752,6902.292,7146.869,8577.795,14111.533,17683.851,16139.613,7240.009,7552.005,6164.718,7225.082,10848.034,10979.557,7375.264,12078.879,12267.52,14581.845,18986.728,15959.813,10102.298,9943.825,8241.149,6494.418,10501.71,9750.599,10160.051,6078.29,6490.087,10917.21,11164.354,10650.675,8158.267,6977.13,5575.45,8116.203,8875.213,5576.85,7054.885,6380.046,7223.673,8996.192,7507.057,8468.356,6570.808,5559.794,4894.681,6521.014,11254.336,13622.051,12173.212,9934.235,8307.736,10796.21,13699.464,13475.37,9488.627,5130.807,6520.432,7944.081,9883.166,6874.327,13752.828,11632.509,13060.974,18082.268,16819.086,17134.761,9806.799,9908.603,11772.905,8333.956,6067.146,8202.033,11928.97,12443.546,14135.718,14267.029,17624.597,15014.022,11752.235,11636.837,7965.389
US-AZ,7222.167,10192.42,10739.324,11743.651,14962.762,12630.803,13657.058,12394.164,10135.92,9830.583,6874.584,8935.176,6401.794,7917.895,9141.373,7982.577,9264.077,12599.15,19329.54,18034.622,16932.927,14664.788,11515.507,12248.528,8050.554,9191.751,11966.995,9687.555,8766.526,12204.323,24722.994,26845.531,21385.158,19824.732,10455.999,7267.198,11976.32606,17000.39063,17081.68028,17579.81181,21493.26771,25016.57518,31477.64113,28927.54331,23113.51124,18124.38743,15602.46319,13724.55223,11593.58304,11621.82581,8429.23363,13510.11376,17179.72733,18924.8585,30950.18465,30589.92142,22268.23455,19468.97709,16510.07982,17238.47844,14248.83929,12997.13189,12350.29542,14309.53211,16984.65783,25976.52887,30557.87176,32388.5574,26355.06441,27354.97496,17870.28212,17625.26299,18618.484,13912.949,7530.39,13984.959,23497.706,30991.666,38944.598,36159.683,29581.223,24347.694,20724.185,23039.065,24113.893,18646.179,12487.531,20882.384,18935.347,28172.664,34736.3,35918.56,30702.302,24871.4,16764.721,18677.505,13163.151,14025.033,13582.142,15408.247,24739.413,21181.164,39117.832,36743.251,30042.903,23791.855,15971.638,15093.429,9092.699,9517.681,13695.235,15385.541,12373.684,21122.498,32108.472,33773.555,28051.574,22106.669,15164.041,12992.865,11716.885,9640.899,6261.731,11387.212,8455.778,16819.457,25757.593,31682.921,22090.08,16913.904,11677.424,9428.361,13201.253,15172.017,15967.906,17680.272,16900.086,25221.971,29892.016,35376.113,25602.438,19568.028,8598.973,7093.463,11570.024,8947.272,9332.265,12891.725,11722.805,26008.926,35429.919,35550.2,27132.051,15527.424,12073.582,18665.992,10844.225,10351.702,5784.185,9508.016,14166.602,22965.936,32187.198,30126.51,27414.957,20009.254,14279.887,9578.984,11390.293,8697.762,9413.052,13353.623,13205.379,30695.981,33841.675,38273.284,31103.178,24523.945,17751.275,17591.573,15349.638,12639.724,14228.968,18755.065,20383.739,31238.636,36718.152,36260.357,28769.746,20912.598,12207.68,9650.601,9674.732,5516.592,7491.926,14301.85,19193.049,27621.474,34151.236,31331.411,24924.985,21736.757,12895.524
US-CA,106634.645,92297.189,97731.469,95481.232,99232.937,99486.216,109510.327,117833.244,100760.688,92669.463,74575.918,78486.147,71637.325,62499.215,81084.94,60808.267,62194.559,82574.729,108561.028,99649.833,94044.39,74778.024,68564.33,76049.775,69227.502,65809.188,66970.778,57182.509,56569.525,64033.633,104235.452,98573.368,90445.206,84879.037,66730.62,68156.54,68806.78508,68527.29446,74427.0384,71644.21703,72362.35072,71174.60668,101495.9238,99269.07713,93901.56931,80361.18553,79482.50535,79519.89447,66500.9517,57992.51263,61269.61499,56636.45566,60426.65777,65085.61814,104981.7654,105686.1467,77249.06179,68063.54989,68613.61413,73332.68297,63821.94108,59409.69169,66505.46493,57137.0031,68829.67411,82092.78122,123413.499,99040.79769,89390.77023,81661.11385,74466.72186,80831.83936,72469.831,65388.821,61446.098,61594.324,67899.738,82700.568,111499.273,123877.628,94753.21,91028.48,84922.861,93325.943,90365.6,75364.706,71277.667,80900.512,66877.089,73528.044,94051.512,110036.66,98288.657,92431.267,81729.573,88795.801,80281.375,73140.794,68314.766,61877.447,63742.038,58127.634,104074.681,106046.22,113742.265,86632.546,77934.496,88676.326,82870.231,75629.363,81781.841,69314.114,51992.739,49769.612,79909.125,93076.277,86118.553,94324.076,80276.216,75369.666,66286.397,64851.288,52798.511,46277.87,43508.604,46793.914,71876.355,86465.249,86573.782,69130.909,67838.174,85972.65,79226.56,78638.674,76030.55,72198.599,72716.635,76207.532,88734.342,118820.438,105957.557,97629.905,83565.869,78215.178,79944.403,73409.854,71926.904,62957.963,67866.749,78664.651,98768.952,99601.864,99375.516,84793.861,84707.628,98635.279,87084.047,82202.097,72345.091,69268.203,70132.752,68905.313,95920.61,97929.816,102573.886,101267.607,73632.374,79984.759,75448.294,57631.032,66448.436,64525.166,62718.6,87845.936,99256.315,104786.46,103520.415,99808.871,73188.229,77701.081,73778.685,59624.814,48668.914,46317.955,49568.142,74189.954,85995.487,94081.883,77452.422,76493.288,60446.616,66926.672,64170.372,48816.675,43350.28,38672.18,47719.513,61675.286,79646.633,90867.706,74887.141,70597.311,60035.914
US-CO,6537.726,7188.095,9071.744,8011.791,7408.807,7733.466,8867.39,8714.048,7262.051,8676.429,6029.218,7141.968,9302.655,4781.361,7543.871,7106.212,6331.931,7562.87,9375.355,7894.482,6613.902,7460.987,6062.044,6585.043,6943.794,6529.257,6332.814,4757.559,6197.037,5140.446,10121.787,10489.517,6730.112,6129.684,6542.284,6812.588,6885.54288,5732.49544,5062.23357,5885.18438,7422.72995,7005.97507,10490.65406,8472.5017,6901.69764,7442.75059,9379.64285,8648.61981,8525.14371,7068.19586,6033.0525,7499.74365,7188.63214,6858.41727,11810.18783,9446.23765,8726.64775,7533.44976,8142.98682,9044.01115,8354.56124,7512.98403,8149.08081,6126.84697,6381.4197,8638.44123,10417.79598,10465.43643,5821.9126,8854.70011,7772.20897,9624.07517,9732.421,7756.3,6844.57,8098.641,9044.981,11633.104,13229.317,12206.097,13593.947,11914.15,10368.11,10733.741,8875.243,7383.682,8748.852,7690.261,6807.818,7828.758,12105.398,10888.002,9189.564,10132.352,8546.442,9317.671,9198.224,9640.749,11034.473,10409.383,8393.669,8902.969,11622.232,11346.573,9276.049,6924.568,7412.134,11517.764,8699.935,7838.836,8116.408,6944.033,5835.434,8730.429,10481.186,9346.148,6787.742,6865.632,6491.613,6811.98,7114.681,6354.765,5278.897,6962.991,7281.166,7306.698,10420.072,8431.745,4892.873,5782.032,7291.428,8189.855,6840.926,6187.736,6067.358,5982.529,8086.426,8433.439,10973.824,10226.171,7643.453,4166,6337.849,5710.09,6966.578,5055.478,7088.498,6367.408,6363.716,8946.06,10389.562,9742.63,8786.293,5547.588,5660.304,9055.355,6415.99,6396.677,8261.61,5376.172,8058.161,7932.7,10147.866,8446.817,8845.987,9130.931,9215.321,8825.475,6762.784,5797.022,6364.431,5858.997,4917.565,8039.644,9427.483,9941.548,9380.285,7933.207,9750.242,8458.121,7893.503,6426.459,7440.251,8819.911,8030.08,10424.184,11767.74,10227.042,6943.091,6053.768,5814.144,7448.699,8323.554,5703.487,5914.155,7391.749,7298.758,8952.948,12666.126,11320.492,9260.487,6481.568,6700.699
US-CT,1422.67,1865.17,2869.26,1130.16,1727.06,2507.56,3094.94,4811.52,6541.03,5485.18,2790.81,4434.25,5133.093,4542.196,5286.458,4501.923,6529.927,6262.732,8848.914,9120.541,7883.625,5321.84,4812.622,4852.528,2880.021,2447.648,4520.457,3860.418,3599.204,3240.201,4299.231,4844.791,4595.523,4079.877,4647.645,4079.618,3381.21648,4282.60551,4009.55064,4426.10659,5947.80694,6046.66739,6626.79315,7155.14329,6538.74111,4661.58303,4167.85438,4268.16448,3824.88259,5060.7167,5109.11315,6038.43448,6653.77446,6039.8948,7402.58006,7575.73898,4643.44768,5169.85898,4472.76767,4159.68747,5240.69742,5514.33792,6797.47221,6172.09967,6483.21452,7904.72891,9699.50298,8009.98951,6534.05838,7243.29499,5950.47033,5789.79422,6356.148,5031.567,5789.168,6252.343,7028.232,6037.896,8213.92,8913.575,7401.103,6815.603,5368.113,5968.611,5856.647,4638.325,3379.421,4683.116,5746.824,5187.629,8183.637,6010.511,4970.942,6960.782,4537.926,4512.052,5208.824,5714.982,6527.675,4942.734,5193.985,5113.099,8206.917,9174.268,6505.828,7337.109,5833.303,6851.975,7321.629,5756.748,4735.257,4491.816,6793.54,8382.121,11133.102,9432.414,8795.602,7527.333,9398.758,7089.711,8388.212,8449.753,7310.366,7554.706,9034.768,9088.962,11731.27,12032.314,11762.569,10405.435,10256.292,9864.907,8826.338,8405.947,8736.869,7842.546,7865.194,10138.571,13630.843,13515.171,11351.787,11529.722,12022.539,10235.074,9993.198,9402.492,10107.916,9403.019,10624.272,9544.906,12740.957,11040.125,10324.097,9172.104,9488.136,9101.812,6929.453,7509.066,7961.339,9701.501,8957.326,10023.544,12579.402,11830.498,9099.159,7843.721,9489.511,11085.041,11832.432,8323.192,9345.928,9848.267,9636.219,10331.583,12714.902,13548.84,11757.058,11289.894,10807.314,12300.759,11513.293,10631.255,9785.545,12366.596,11291.058,10113.151,12688.494,13494.709,10998.384,10600.071,10759.656,10424.978,11199.387,9034.275,10499.992,7875.613,7445.172,8921.821,12195.831,12986.767,9377.995,10395.056,11029.096
US-DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.753,59.868,69.375,77.313,82.189,96.584,109.992,110.252,94.246,83.432,72.449,79.402,73.237,71.611,78.572,77.894,93.85,93.491,110.185,101.914,92.799,80.386,67.659,77.557,68.999,68.988,69.812,68.217,72.939,81.571,87.766,91.446,82.65,76.411,65.805,65.533,69.138,50.731,66.397,69.431,77.201,82.72,90.915,95.789,84.38,74.073,64.017,69.251,49.036,44.379,48.229,49.481,56.154,62.184,66.966,64.857,58.785,51.823,50.201,51.652,62.908,59.904,63.91,61.703,69.446,78.944,89.394,89.585,75.232,62.69,57.171,57.251,85.422,75.565,81.768,34.061,48.582,80.241,71.922,61.254,80.567,,27.915
US-DE,78.375,188.722,1109.145,89.48,958.758,1357.794,1473.682,2855.851,2997.741,2482.732,1093.6,443.204,799.187,1711.523,1227.111,1673.823,1017.985,1357.189,5511.644,2888.669,1932.196,1249.951,272.148,330.163,464.92,352.735,1272.901,860.869,358.088,890.282,2223.239,2124.371,1127.259,904.272,497.564,664.626,1449.55879,1142.8062,1155.0271,897.63985,2016.79819,1205.28329,1130.08102,1055.79464,1325.31708,505.08672,915.35508,2112.86907,1415.04648,1004.1876,965.64584,281.03936,442.38067,1476.46303,2016.80169,2336.87704,1315.68256,978.24486,546.87234,282.95755,519.51353,388.05315,815.97381,235.92246,532.75981,1287.06786,2111.59206,1535.71357,721.64033,528.22214,322.87002,618.78928,702.662,1140.72,1520.826,1381.994,1542.961,2108.481,2973.785,3638.643,2293.899,1367.565,565.515,991.042,518.266,644.058,572.359,646.139,530.65,1980.216,2416.847,1814.253,1443.01,648.359,920.359,850.704,902.793,501.329,714.472,156.119,526.784,803.823,1254.302,1880.066,1900.006,1773.116,756.293,1241.203,921.33,749.901,873.76,1133.033,2114.023,3163.226,4613.744,3573.594,2762.267,2323.992,1448.225,705.448,649.233,1604.273,2870.809,3346.376,3089.576,3630.071,5382.256,4119.363,3824.456,4068.1,4478.44,4036.061,4196.631,4034.129,4627.809,5752.046,5503.773,5915.653,7261.024,6245.829,5343.264,4949.365,3050.673,4432.111,3508.643,3226.052,5876.271,3683.168,4697.931,5058.859,6284.799,5394.754,4648.182,4654.202,3423.581,3578.315,2876.904,2909.425,4329.085,3717.942,4113.612,5275.595,6395.052,6489.329,5756.289,4678.421,5191.907,5271.046,4304.02,2478.16,3524.474,6899.337,6249.433,5716.984,7052.672,6354.863,6034.421,4079.152,3256.932,3481.963,3280.503,3603.998,5033.853,5722.759,5106.33,7047.17,8877.018,8366.841,6583.753,6686.495,4615.727,3137.498,3810.464,3860.969,,4090.95,6011.076,6274.191,6988.806,6993.627,5047.708,4906.454,3397.593
