Description,Multi c-Si Module Spot Price $/watt,Thin Film Module Spot Price $/watt
4/2017,0.3405,0.3525
3/2017,0.3452,0.3576
2/2017,0.3523,0.3660
1/2017,0.3568,0.3725
12/2016,0.3730,0.3878
11/2016,0.3946,0.4086
10/2016,0.3975,0.4145
9/2016,0.4150,0.4350
8/2016,0.4478,0.4698
7/2016,0.4885,0.5135
6/2016,0.5064,0.5310
5/2016,0.5180,0.5448
4/2016,0.5295,0.5588
3/2016,0.5412,0.5692
2/2016,0.5523,0.5798
1/2016,0.5528,0.5825
12/2015,0.5562,0.5852
11/2015,0.5605,0.5890
10/2015,0.5585,0.5918
9/2015,0.5550,0.5920
8/2015,0.5500,0.5913
7/2015,0.5480,0.5908
6/2015,0.5498,0.5955
5/2015,0.5608,0.6090
4/2015,0.5794,0.6186
3/2015,0.5913,0.6250
2/2015,0.6013,0.6293
1/2015,0.6135,0.6363
12/2014,0.6192,0.6390
11/2014,0.6210,0.6410
10/2014,0.6162,0.6428
9/2014,0.6113,0.6483
8/2014,0.6158,0.6518
7/2014,0.6262,0.6308
6/2014,0.6450,0.5905
5/2014,0.6568,0.5833
4/2014,0.6606,0.5844
3/2014,0.6673,0.5868
2/2014,0.6813,0.5928
1/2014,0.6920,0.5964
12/2013,0.6963,0.5973
11/2013,0.7030,0.6000
10/2013,0.7022,0.6018
9/2013,0.7043,0.6038
8/2013,0.7045,0.6093
7/2013,0.7094,0.6238
6/2013,0.7310,0.6458
5/2013,0.7128,0.6392
4/2013,0.6755,0.6233
3/2013,0.6693,0.6205
2/2013,0.6615,0.6173
1/2013,0.6556,0.6142
12/2012,0.6563,0.6153
11/2012,0.6618,0.6215
10/2012,0.6762,0.6360
9/2012,0.7105,0.6590
8/2012,0.7336,0.6752
7/2012,0.7645,0.6938
6/2012,0.8213,0.7238
5/2012,0.8416,0.7344
4/2012,0.8693,0.7455
3/2012,0.9103,0.7620
2/2012,0.9386,0.7714
1/2012,0.9448,0.7735
12/2011,0.9638,0.7778
11/2011,1.0280,0.8040
10/2011,1.1020,0.8685
9/2011,1.1550,0.9073
8/2011,1.1916,0.9248
7/2011,1.2350,0.9450
6/2011,1.2840,0.9720
5/2011,1.3950,1.0425
4/2011,1.5213,1.1800
3/2011,1.5920,1.2960
2/2011,1.6005,1.2950
1/2011,1.5688,1.2888
12/2010,1.6760,1.3360
11/2010,1.7600,1.3650
10/2010,1.7045,1.3135
9/2010,1.7000,1.3140
8/2010,1.7000,1.3050
7/2010,1.7100,1.3025
6/2010,1.7340,1.3140
5/2010,1.7550,1.3300
